id,name,l10n_br_description,category_id/id,rounding,factor,uom_type,active
product.product_uom_ampoule,AMPOLA,Ampola,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_bucket,BALDE,Balde,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_tray,BANDEJ,Bandeja,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_bar,BARRA,Barra,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_squirt,BISNAG,Bisnaga,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_block,BLOCO,Bloco,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_roll,BOBINA,Bobina,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_bomb,BOMB,Bombona,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_capsules,CAPS,Capsula,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_package,CART,Cartela,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_cent,CENTO,Cento,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_group,CJ,Conjunto,product.product_uom_categ_unit,0.01,1.0,reference,True
product.product_uom_cm,CM,Centímetro,product.uom_categ_length,0.01,100.0,smaller,True
product.product_uom_box,CX,Caixa,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_disp,DISP,Display,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_dozen,DUZIA,Duzia,product.product_uom_categ_unit,0.01,0.08333333333333333,bigger,True
product.product_uom_packing,EMBAL,Embalagem,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_bale,FARDO,Fardo,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_sheet,FOLHA,Folha,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_flagon,FRASCO,Frasco,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_gal,GALAO,Galão,product.product_uom_categ_vol,0.01,0.26417217685798894,bigger,True
product.product_uom_bottle,GF,Garrafa,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_gram,GRAMAS,Gramas,product.product_uom_categ_kgm,0.01,1000.0,smaller,True
product.product_uom_set,JOGO,Jogo,product.product_uom_categ_unit,0.01,1.0,reference,True
product.product_uom_kgm,KG,Quilograma,product.product_uom_categ_kgm,0.01,1.0,reference,True
product.product_uom_kit,KIT,Kit,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_can,LATA,Lata,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_litre,LITRO,Litro,product.product_uom_categ_vol,0.01,1.0,reference,True
product.product_uom_meter,M,Metro,product.uom_categ_length,0.01,1.0,reference,True
product.product_uom_meter3,M3,Metro cúbico,product.product_uom_categ_vol,0.01,1.0,bigger,True
product.product_uom_thousand,MILHEI,Milheiro,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_mililiter,ML,Mililitro,product.product_uom_categ_vol,0.01,1000.0,bigger,True
product.product_uom_mwh,MWH,Megawatt hora,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_packet,PACOTE,Pacote,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_pallet,PALETE,Palete,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_pair,PARES,Pares,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_piece,PC,Peça,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_pot,POTE,Pote,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_ream,RESMA,Resma,product.product_uom_categ_unit,0.01,1000.0,bigger,True
product.product_uom_roller,ROLO,Rolo,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_sac,SACO,Saco,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_bag,SACOLA,Sacola,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_drum,TAMBOR,Tambor,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_tank,TANQUE,Tanque,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_ton,TON,Tonelada,product.product_uom_categ_kgm,0.01,1.0,bigger,True
product.product_uom_tube,TUBO,Tubo,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_unit,UNID,Unidade,product.product_uom_categ_unit,0.01,1.0,reference,True
product.product_uom_cask,VASIL,Vasilhame,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_glass,VIDRO,Vidro,product.product_uom_categ_unit,0.01,1.0,bigger,True
product.product_uom_mile,MILHA,Milha(s),product.uom_categ_length,0.01,0.0006213727366498068,bigger,True
product.product_uom_foot,PES,Pés (ft),product.uom_categ_length,0.01,3.28084,smaller,True
product.product_uom_day,DIA,Dia(s),product.uom_categ_wtime,0.01,1.0,reference,True
product.product_uom_hour,HORA,Hora(s),product.uom_categ_wtime,0.01,8.0,smaller,True
product.product_uom_month,MES,Mes(es),product.uom_categ_wtime,0.01,1.0,reference,True
product.product_uom_km,KM,Quilometro,product.uom_categ_length,0.01,1.0,bigger,True
product.product_uom_lb,LB,Libra(s),product.product_uom_categ_kgm,0.01,2.20462,smaller,True
product.product_uom_meter,M,Metro(s),product.uom_categ_length,0.01,1.0,reference,True
